consumer_id,seq_len,product_type_ids,material_ids,size_ids,section_ids,gender_id,age_bin_id,country_id,label_id,product_type_id_t,material_id_t,size_id_t,section_id_t,transaction_date_t
c_1,1,[6],[7],[3],[2],0,6,1,1,2,5,3,3,2021-06-04
c_1,2,"[6, 2]","[7, 5]","[3, 3]","[2, 3]",0,6,1,1,4,1,3,3,2021-07-01
c_1,3,"[6, 2, 4]","[7, 5, 1]","[3, 3, 3]","[2, 3, 3]",0,6,1,0,2,7,3,2,2021-07-18
c_1,4,"[6, 2, 4, 2]","[7, 5, 1, 7]","[3, 3, 3, 3]","[2, 3, 3, 2]",0,6,1,0,6,2,2,2,2021-08-26
c_10,1,[6],[2],[6],[1],1,6,3,0,4,7,5,3,2021-03-06
c_10,2,"[6, 4]","[2, 7]","[6, 5]","[1, 3]",1,6,3,2,2,5,7,1,2021-04-08
c_10,3,"[6, 4, 2]","[2, 7, 5]","[6, 5, 7]","[1, 3, 1]",1,6,3,0,1,5,6,2,2021-06-18
c_10,4,"[6, 4, 2, 1]","[2, 7, 5, 5]","[6, 5, 7, 6]","[1, 3, 1, 2]",1,6,3,2,1,7,7,2,2021-08-18
c_10,5,"[6, 4, 2, 1, 1]","[2, 7, 5, 5, 7]","[6, 5, 7, 6, 7]","[1, 3, 1, 2, 2]",1,6,3,2,1,5,6,2,2021-09-25
c_100,1,[5],[2],[1],[2],0,3,3,0,4,1,1,3,2021-07-16
c_100,2,"[5, 4]","[2, 1]","[1, 1]","[2, 3]",0,3,3,2,2,5,2,3,2021-10-13
c_100,3,"[5, 4, 2]","[2, 1, 5]","[1, 1, 2]","[2, 3, 3]",0,3,3,0,3,4,10,3,2021-10-18
c_100,4,"[5, 4, 2, 3]","[2, 1, 5, 4]","[1, 1, 2, 10]","[2, 3, 3, 3]",0,3,3,0,4,1,2,3,2021-10-29
c_101,1,[1],[5],[2],[1],0,1,2,0,6,2,3,2,2022-03-08
c_101,2,"[1, 6]","[5, 2]","[2, 3]","[1, 2]",0,1,2,0,1,5,3,2,2022-04-21
c_101,3,"[1, 6, 1]","[5, 2, 5]","[2, 3, 3]","[1, 2, 2]",0,1,2,2,3,4,15,3,2022-07-13
c_102,1,[5],[2],[4],[2],2,3,2,0,5,7,4,2,2022-02-27
c_102,2,"[5, 5]","[2, 7]","[4, 4]","[2, 2]",2,3,2,0,5,7,4,2,2022-03-29
c_103,1,[6],[7],[6],[2],1,0,3,1,1,5,6,1,2022-03-07
c_103,2,"[6, 1]","[7, 5]","[6, 6]","[2, 1]",1,0,3,0,3,6,24,2,2022-05-28
c_104,1,[1],[3],[6],[3],0,2,2,0,3,4,23,1,2021-10-01
c_104,2,"[1, 3]","[3, 4]","[6, 23]","[3, 1]",0,2,2,2,2,7,6,2,2021-11-14
c_106,1,[5],[7],[3],[1],0,1,2,0,3,7,15,3,2021-08-09
c_106,2,"[5, 3]","[7, 7]","[3, 15]","[1, 3]",0,1,2,1,5,7,4,3,2021-08-16
c_106,3,"[5, 3, 5]","[7, 7, 7]","[3, 15, 4]","[1, 3, 3]",0,1,2,0,3,6,15,2,2021-08-31
c_106,4,"[5, 3, 5, 3]","[7, 7, 7, 6]","[3, 15, 4, 15]","[1, 3, 3, 2]",0,1,2,1,3,6,15,1,2021-10-29
c_106,5,"[5, 3, 5, 3, 3]","[7, 7, 7, 6, 6]","[3, 15, 4, 15, 15]","[1, 3, 3, 2, 1]",0,1,2,1,2,8,3,2,2021-12-02
c_106,6,"[5, 3, 5, 3, 3, 2]","[7, 7, 7, 6, 6, 8]","[3, 15, 4, 15, 15, 3]","[1, 3, 3, 2, 1, 2]",0,1,2,0,1,5,4,3,2022-01-12
c_107,1,[2],[7],[6],[3],0,1,1,1,6,7,6,2,2021-11-03
c_107,2,"[2, 6]","[7, 7]","[6, 6]","[3, 2]",0,1,1,0,3,6,25,2,2021-11-25
c_107,3,"[2, 6, 3]","[7, 7, 6]","[6, 6, 25]","[3, 2, 2]",0,1,1,1,2,8,7,1,2022-02-16
c_107,4,"[2, 6, 3, 2]","[7, 7, 6, 8]","[6, 6, 25, 7]","[3, 2, 2, 1]",0,1,1,1,5,7,6,1,2022-04-04
c_111,1,[2],[8],[4],[3],1,3,0,0,5,2,3,1,2021-06-30
c_112,1,[2],[7],[3],[3],0,0,2,0,1,5,3,1,2021-04-28
c_112,2,"[2, 1]","[7, 5]","[3, 3]","[3, 1]",0,0,2,2,1,3,3,1,2021-06-18
c_112,3,"[2, 1, 1]","[7, 5, 3]","[3, 3, 3]","[3, 1, 1]",0,0,2,0,2,5,3,3,2021-07-12
c_112,4,"[2, 1, 1, 2]","[7, 5, 3, 5]","[3, 3, 3, 3]","[3, 1, 1, 3]",0,0,2,2,3,6,13,3,2021-08-02
c_113,1,[6],[7],[4],[1],0,1,2,0,6,2,4,1,2021-10-07
c_113,2,"[6, 6]","[7, 2]","[4, 4]","[1, 1]",0,1,2,0,4,8,4,1,2021-12-31
c_114,1,[3],[6],[22],[2],1,3,1,2,4,8,6,1,2021-10-21
c_114,2,"[3, 4]","[6, 8]","[22, 6]","[2, 1]",1,3,1,0,4,1,4,1,2021-12-18
c_114,3,"[3, 4, 4]","[6, 8, 1]","[22, 6, 4]","[2, 1, 1]",1,3,1,0,2,5,5,1,2021-12-25
c_114,4,"[3, 4, 4, 2]","[6, 8, 1, 5]","[22, 6, 4, 5]","[2, 1, 1, 1]",1,3,1,2,3,7,22,3,2022-03-23
c_114,5,"[3, 4, 4, 2, 3]","[6, 8, 1, 5, 7]","[22, 6, 4, 5, 22]","[2, 1, 1, 1, 3]",1,3,1,2,5,7,5,1,2022-05-29
c_114,6,"[3, 4, 4, 2, 3, 5]","[6, 8, 1, 5, 7, 7]","[22, 6, 4, 5, 22, 5]","[2, 1, 1, 1, 3, 1]",1,3,1,2,4,7,5,3,2022-07-16
c_116,1,[1],[5],[7],[1],1,3,3,0,6,7,6,2,2022-02-21
c_116,2,"[1, 6]","[5, 7]","[7, 6]","[1, 2]",1,3,3,1,1,5,7,1,2022-05-12
c_116,3,"[1, 6, 1]","[5, 7, 5]","[7, 6, 7]","[1, 2, 1]",1,3,3,0,1,5,7,1,2022-07-10
c_117,1,[5],[2],[3],[1],1,0,2,0,4,1,3,2,2021-05-12
c_117,2,"[5, 4]","[2, 1]","[3, 3]","[1, 2]",1,0,2,0,2,7,4,1,2021-05-31
c_117,3,"[5, 4, 2]","[2, 1, 7]","[3, 3, 4]","[1, 2, 1]",1,0,2,0,6,5,3,2,2021-08-14
c_118,1,[5],[2],[6],[3],1,2,3,1,5,7,6,1,2022-04-16
c_119,1,[6],[2],[4],[3],2,2,2,0,4,7,4,1,2022-03-15
c_119,2,"[6, 4]","[2, 7]","[4, 4]","[3, 1]",2,2,2,0,3,6,16,3,2022-03-17
c_119,3,"[6, 4, 3]","[2, 7, 6]","[4, 4, 16]","[3, 1, 3]",2,2,2,0,2,8,5,2,2022-04-28
c_119,4,"[6, 4, 3, 2]","[2, 7, 6, 8]","[4, 4, 16, 5]","[3, 1, 3, 2]",2,2,2,2,2,7,5,1,2022-05-05
c_120,1,[1],[5],[4],[3],1,3,2,0,4,1,3,2,2021-08-24
c_120,2,"[1, 4]","[5, 1]","[4, 3]","[3, 2]",1,3,2,3,6,2,4,3,2021-10-17
c_120,3,"[1, 4, 6]","[5, 1, 2]","[4, 3, 4]","[3, 2, 3]",1,3,2,3,1,5,4,1,2021-11-28
c_122,1,[6],[2],[3],[2],0,1,0,0,3,4,9,3,2022-01-21
c_122,2,"[6, 3]","[2, 4]","[3, 9]","[2, 3]",0,1,0,0,2,5,2,3,2022-02-16
c_122,3,"[6, 3, 2]","[2, 4, 5]","[3, 9, 2]","[2, 3, 3]",0,1,0,0,3,4,9,1,2022-04-01
c_123,1,[3],[6],[19],[3],1,2,0,2,3,7,20,2,2022-02-19
c_123,2,"[3, 3]","[6, 7]","[19, 20]","[3, 2]",1,2,0,2,6,2,5,3,2022-02-23
c_123,3,"[3, 3, 6]","[6, 7, 2]","[19, 20, 5]","[3, 2, 3]",1,2,0,1,6,2,4,1,2022-04-20
c_123,4,"[3, 3, 6, 6]","[6, 7, 2, 2]","[19, 20, 5, 4]","[3, 2, 3, 1]",1,2,0,0,1,3,4,2,2022-04-23
c_126,1,[3],[7],[15],[1],0,1,3,2,4,7,5,1,2021-04-26
c_126,2,"[3, 4]","[7, 7]","[15, 5]","[1, 1]",0,1,3,1,2,7,4,2,2021-07-12
c_126,3,"[3, 4, 2]","[7, 7, 7]","[15, 5, 4]","[1, 1, 2]",0,1,3,1,5,2,4,2,2021-10-06
c_126,4,"[3, 4, 2, 5]","[7, 7, 7, 2]","[15, 5, 4, 4]","[1, 1, 2, 2]",0,1,3,1,4,1,4,1,2021-12-16
c_126,5,"[3, 4, 2, 5, 4]","[7, 7, 7, 2, 1]","[15, 5, 4, 4, 4]","[1, 1, 2, 2, 1]",0,1,3,0,2,8,3,3,2022-01-20
c_126,6,"[3, 4, 2, 5, 4, 2]","[7, 7, 7, 2, 1, 8]","[15, 5, 4, 4, 4, 3]","[1, 1, 2, 2, 1, 3]",0,1,3,1,3,7,16,2,2022-04-04
c_127,1,[1],[6],[7],[3],1,1,3,2,3,6,27,3,2021-10-05
