consumer_id,product_id,purchased_size,fit_outcome,transaction_date
c_1,a_853,XS,too small,2021-07-04
c_1,a_394,M,too large,2021-08-03
c_1,a_381,S,fit,2021-09-10
c_1,a_455,8.5,too large,2021-09-11
c_1,a_471,8.0,too large,2021-11-03
c_1,a_624,S,too large,2022-01-30
c_1,a_861,XS,too small,2022-02-16
c_1,a_510,XS,too small,2022-04-18
c_2,a_230,M,too small,2021-12-14
c_2,a_598,L,not applicable,2022-01-10
c_2,a_695,S,too small,2022-01-29
c_2,a_206,9.5,fit,2022-02-24
c_2,a_421,M,fit,2022-04-17
c_3,a_826,11.0,too large,2021-10-16
c_3,a_609,11.0,not applicable,2022-01-04
c_3,a_995,M,not applicable,2022-03-22
c_3,a_206,10.5,not applicable,2022-06-05
c_3,a_96,XL,too large,2022-06-29
c_3,a_680,L,too large,2022-07-04
c_4,a_704,L,too small,2021-04-26
c_4,a_903,XL,too large,2021-05-06
c_4,a_29,11.0,too large,2021-05-18
c_4,a_220,11.0,too large,2021-07-13
c_4,a_970,L,too small,2021-08-23
c_5,a_255,XL,too large,2021-09-21
c_5,a_689,11.0,fit,2021-10-23
c_5,a_243,L,too large,2021-12-27
c_5,a_106,L,too large,2022-02-14
c_5,a_62,M,too small,2022-03-31
c_5,a_676,L,too small,2022-04-14
c_5,a_876,L,too small,2022-05-24
c_6,a_529,L,fit,2021-10-27
c_6,a_483,L,too large,2021-12-18
c_6,a_332,L,too small,2022-01-04
c_6,a_996,11.5,fit,2022-03-03
c_6,a_124,12.0,not applicable,2022-03-29
c_6,a_649,L,too large,2022-05-08
c_6,a_904,L,fit,2022-05-13
c_6,a_619,L,too small,2022-07-18
c_7,a_197,L,too large,2021-07-16
c_7,a_966,M,too large,2021-09-20
c_8,a_583,L,too large,2021-11-14
c_8,a_590,M,too small,2022-01-20
c_8,a_18,L,fit,2022-01-29
c_8,a_218,L,too large,2022-02-17
c_9,a_39,2XL,fit,2021-07-19
c_9,a_30,2XL,too small,2021-10-09
