consumer_id,seq_len,product_type_ids,material_ids,size_ids,section_ids,gender_id,age_bin_id,country_id,label_id,product_type_id_t,transaction_date_t
c_1,1,[6],[7],[3],[2],0,6,1,1,2,2021-06-04
c_1,2,"[6, 2]","[7, 5]","[3, 3]","[2, 3]",0,6,1,1,4,2021-07-01
c_1,3,"[6, 2, 4]","[7, 5, 1]","[3, 3, 3]","[2, 3, 3]",0,6,1,0,2,2021-07-18
c_1,4,"[6, 2, 4, 2]","[7, 5, 1, 7]","[3, 3, 3, 3]","[2, 3, 3, 2]",0,6,1,0,6,2021-08-26
c_100,1,[5],[2],[1],[2],0,3,3,0,4,2021-07-16
c_100,2,"[5, 4]","[2, 1]","[1, 1]","[2, 3]",0,3,3,2,2,2021-10-13
c_100,3,"[5, 4, 2]","[2, 1, 5]","[1, 1, 2]","[2, 3, 3]",0,3,3,0,3,2021-10-18
c_100,4,"[5, 4, 2, 3]","[2, 1, 5, 4]","[1, 1, 2, 10]","[2, 3, 3, 3]",0,3,3,0,4,2021-10-29
c_101,1,[1],[5],[2],[1],0,1,2,0,6,2022-03-08
c_101,2,"[1, 6]","[5, 2]","[2, 3]","[1, 2]",0,1,2,0,1,2022-04-21
c_101,3,"[1, 6, 1]","[5, 2, 5]","[2, 3, 3]","[1, 2, 2]",0,1,2,2,3,2022-07-13
c_103,1,[6],[7],[6],[2],1,0,3,1,1,2022-03-07
c_103,2,"[6, 1]","[7, 5]","[6, 6]","[2, 1]",1,0,3,0,3,2022-05-28
c_104,1,[1],[3],[6],[3],0,2,2,0,3,2021-10-01
c_104,2,"[1, 3]","[3, 4]","[6, 23]","[3, 1]",0,2,2,2,2,2021-11-14
c_105,1,[3],[7],[17],[1],0,3,0,0,4,2021-12-07
c_105,2,"[3, 4]","[7, 8]","[17, 4]","[1, 1]",0,3,0,0,2,2022-02-02
c_105,3,"[3, 4, 2]","[7, 8, 5]","[17, 4, 4]","[1, 1, 2]",0,3,0,2,5,2022-04-07
c_105,4,"[3, 4, 2, 5]","[7, 8, 5, 2]","[17, 4, 4, 5]","[1, 1, 2, 1]",0,3,0,1,3,2022-05-15
c_105,5,"[3, 4, 2, 5, 3]","[7, 8, 5, 2, 4]","[17, 4, 4, 5, 17]","[1, 1, 2, 1, 1]",0,3,0,2,1,2022-05-21
c_106,1,[5],[7],[3],[1],0,1,2,0,3,2021-08-09
c_106,2,"[5, 3]","[7, 7]","[3, 15]","[1, 3]",0,1,2,1,5,2021-08-16
